price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
246255.0,Малинова Долина,Многостаен,141.0,Тухла,2025.0,1.0,Първи жилищен
236305.0,Бояна,Мезонет,134.0,Тухла,,,
239865.0,Бояна,Тристаен,113.0,Тухла,,2.0,
160000.0,Зона Б18,Двустаен,57.0,Тухла,2005.0,7.0,Непоследен
240000.0,Дружба 1,Тристаен,87.0,ЕПК/ПК,1987.0,9.0,Непоследен
314950.0,Горна Баня,Тристаен,121.0,ЕПК/ПК,,3.0,
297970.0,Горна Баня,Тристаен,122.0,ЕПК/ПК,,2.0,
229623.0,Горна Баня,Двустаен,94.0,ЕПК/ПК,,,
182478.0,Връбница 2,Тристаен,107.0,Тухла,,4.0,
93021.0,м. Гърдова глава,Едностаен,58.0,Тухла,,1.0,
206759.0,Манастирски Ливади,Тристаен,90.0,Тухла,,3.0,
155714.0,Манастирски Ливади,Двустаен,63.0,Тухла,,1.0,
135290.0,Манастирски Ливади,Двустаен,56.0,Тухла,,,
143333.0,Люлин 5,Тристаен,98.0,Тухла,,7.0,
110000.0,Княжево,Двустаен,68.0,Тухла,2025.0,1.0,Непоследен
109948.0,Малинова Долина,Едностаен,49.0,Тухла,2025.0,1.0,Непоследен
327132.0,Сухата река,Тристаен,125.0,Тухла,,9.0,
194566.0,Витоша,Тристаен,94.0,Тухла,,3.0,
485000.0,Кръстова Вада,Многостаен,214.0,Тухла,,6.0,
273000.0,Кръстова Вада,Тристаен,145.0,Тухла,,,
208500.0,Витоша,Двустаен,77.0,Тухла,,6.0,
215000.0,Витоша,Двустаен,73.0,Тухла,,2.0,
229000.0,Илинден,Тристаен,93.0,Тухла,,2.0,
138000.0,Люлин 7,Двустаен,46.0,Панел,2000.0,2.0,Непоследен
181657.0,Малинова Долина,Тристаен,101.0,Тухла,,3.0,
135475.0,Малинова Долина,Двустаен,71.0,Тухла,,1.0,
430000.0,Младост 2,Тристаен,108.0,Тухла,,1.0,
259000.0,Надежда 4,Тристаен,94.0,Тухла,2024.0,2.0,Непоследен
270000.0,Дружба 1,Тристаен,136.0,Тухла,2024.0,2.0,Непоследен
