price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
246255,"Малинова Долина, София",Многостаен апартамент в София,141,Тухла,2025,1 етаж,Първи жилищен
236305,"Бояна, София",Мезонет,134,Тухла,Not Available,Not Available,Not Available
239865,"Бояна, София",Тристаен апартамент в София,113,Тухла,Not Available,2 етаж,Not Available
160000,"Зона Б18, София",Двустаен апартамент в София,57,Тухла,2005,7 етаж,Непоследен
240000,"Дружба 1, София",Тристаен апартамент в София,87,ЕПК/ПК,1987,9 етаж,Непоследен
314950,"Горна Баня, София",Тристаен апартамент в София,121,ЕПК/ПК,Not Available,3 етаж,Not Available
297970,"Горна Баня, София",Тристаен апартамент в София,122,ЕПК/ПК,Not Available,2 етаж,Not Available
229623,"Горна Баня, София",Двустаен апартамент в София,94,ЕПК/ПК,Not Available,Not Available,Not Available
182478,"Връбница 2, София",Тристаен апартамент в София,107,Тухла,Not Available,4 етаж,Not Available
93021,"м. Гърдова глава, София",Едностаен апартамент в София,58,Тухла,Not Available,1 етаж,Not Available
206759,"Манастирски Ливади, София",Тристаен апартамент в София,90,Тухла,Not Available,3 етаж,Not Available
155714,"Манастирски Ливади, София",Двустаен апартамент в София,63,Тухла,Not Available,1 етаж,Not Available
135290,"Манастирски Ливади, София",Двустаен апартамент в София,56,Тухла,Not Available,Not Available,Not Available
143333,"Люлин 5, София",Тристаен апартамент в София,98,Тухла,Not Available,7 етаж,Not Available
110000,"Княжево, София",Двустаен апартамент в София,68,Тухла,2025,1 етаж,Непоследен
109948,"Малинова Долина, София",Едностаен апартамент в София,49,Тухла,2025,1 етаж,Непоследен
327132,"Сухата река, София",Тристаен апартамент в София,125,Тухла,Not Available,9 етаж,Not Available
194566,"Витоша, София",Тристаен апартамент в София,94,Тухла,Not Available,3 етаж,Not Available
485000,"Кръстова Вада, София",Многостаен апартамент в София,214,Тухла,Not Available,6 етаж,Not Available
273000,"Кръстова Вада, София",Тристаен апартамент в София,145,Тухла,Not Available,Not Available,Not Available
208500,"Витоша, София",Двустаен апартамент в София,77,Тухла,Not Available,6 етаж,Not Available
215000,"Витоша, София",Двустаен апартамент в София,73,Тухла,Not Available,2 етаж,Not Available
229000,"Илинден, София",Тристаен апартамент в София,93,Тухла,Not Available,2 етаж,Not Available
138000,"Люлин 7, София",Двустаен апартамент в София,46,Панел,2000,2 етаж,Непоследен
181657,"Малинова Долина, София",Тристаен апартамент в София,101,Тухла,Not Available,3 етаж,Not Available
135475,"Малинова Долина, София",Двустаен апартамент в София,71,Тухла,Not Available,1 етаж,Not Available
430000,"Младост 2, София",Тристаен апартамент в София,108,Тухла,Not Available,1 етаж,Not Available
259000,"Надежда 4, София",Тристаен апартамент в София,94,Тухла,2024,2 етаж,Непоследен
270000,"Дружба 1, София",Тристаен апартамент в София,136,Тухла,2024,2 етаж,Непоследен
225000,"Център, София",Тристаен апартамент в София,108,Тухла,1977,2 етаж,Последен етаж
173000,"Разсадника, София",Двустаен апартамент в София,69,ЕПК/ПК,1995,9 етаж,Непоследен
123000,"Свобода, София",Двустаен апартамент в София,65,Панел,1987,1 етаж,Първи жилищен
250963,"Лозенец, София",Двустаен апартамент в София,94,Тухла,2028,3 етаж,Непоследен
216000,"Кръстова Вада, София",Двустаен апартамент в София,72,Тухла,2025,3 етаж,Непоследен
227000,"Бояна, София",Двустаен апартамент в София,80,Тухла,2000,4 етаж,Последен етаж
615000,"Лозенец, София",Многостаен апартамент в София,143,Тухла,2024,3 етаж,Непоследен
111458,"Люлин 5, София",Двустаен апартамент в София,68,Тухла,2026,9 етаж,Непоследен
112606,"Люлин 5, София",Тристаен апартамент в София,88,Тухла,2026,2 етаж,Непоследен
500000,"Бояна, София",Многостаен апартамент в София,324,Тухла,2025,3 етаж,Непоследен
157806,"Красна Поляна, София",Тристаен апартамент в София,88,Тухла,2026,3 етаж,Непоследен
500000,"Бояна, София",Многостаен апартамент в София,329,Тухла,2025,3 етаж,Непоследен
98875,"Люлин 5, София",Двустаен апартамент в София,64,Тухла,2026,2 етаж,Непоследен
324840,"Кръстова Вада, София",Двустаен апартамент в София,74,Тухла,2026,7 етаж,Непоследен
186383,София,Двустаен апартамент в София,64,Тухла,2025,10 етаж,Последен етаж
156996,София,Двустаен апартамент в София,56,Тухла,2025,8 етаж,Непоследен
455525,"Драгалевци, София",Мезонет,182,Тухла,Not Available,1 етаж,Първи жилищен
